plan_id,father_start_bar,father_end_bar,father_pct,mother_bar,mother_pct,reasons
-94,149828,149829,69.8,149830,8.8,"พ่อ 69.8%R55 (2 แท่ง) · vol 3.91 · แม่ 8.8% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 5–10% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-93,147553,147557,76.0,147558,9.4,"พ่อ 76.0%R55 (5 แท่ง) · vol 1.64 · แม่ 9.4% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 5–10% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-92,144848,144851,62.4,144852,9.1,"พ่อ 62.4%R55 (4 แท่ง) · vol 1.82 · แม่ 9.1% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 5–10% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-91,144654,144654,63.5,144655,15.4,"พ่อ 63.5%R55 (1 แท่ง) · vol 12.25 · แม่ 15.4% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 15–25% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-90,142153,142155,64.5,142156,6.7,"พ่อ 64.5%R55 (3 แท่ง) · vol 4.96 · แม่ 6.7% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 5–10% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-89,141106,141108,61.1,141109,7.6,"พ่อ 61.1%R55 (3 แท่ง) · vol 5.39 · แม่ 7.6% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 5–10% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-88,140334,140337,70.8,140338,13.4,"พ่อ 70.8%R55 (4 แท่ง) · vol 2.34 · แม่ 13.4% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 10–15% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-87,139163,139164,65.4,139165,9.6,"พ่อ 65.4%R55 (2 แท่ง) · vol 4.95 · แม่ 9.6% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 5–10% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-86,136893,136895,68.3,136896,17.2,"พ่อ 68.3%R55 (3 แท่ง) · vol 5.56 · แม่ 17.2% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 15–25% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-85,133443,133449,66.2,133450,22.5,"พ่อ 66.2%R55 (7 แท่ง) · vol 1.03 · แม่ 22.5% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 15–25% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-84,129736,129739,71.3,129740,10.8,"พ่อ 71.3%R55 (4 แท่ง) · vol 3.13 · แม่ 10.8% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 10–15% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-83,129694,129700,71.9,129701,20.9,"พ่อ 71.9%R55 (7 แท่ง) · vol 1.45 · แม่ 20.9% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 15–25% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-82,127431,127435,62.4,127436,16.6,"พ่อ 62.4%R55 (5 แท่ง) · vol 1.54 · แม่ 16.6% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 15–25% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-81,124957,124959,71.7,124960,14.3,"พ่อ 71.7%R55 (3 แท่ง) · vol 3.69 · แม่ 14.3% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 10–15% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-80,123568,123568,62.7,123569,8.9,"พ่อ 62.7%R55 (1 แท่ง) · vol 4.68 · แม่ 8.9% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 5–10% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-79,122725,122725,61.4,122726,18.1,"พ่อ 61.4%R55 (1 แท่ง) · vol 7.26 · แม่ 18.1% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 15–25% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-78,122221,122223,69.8,122224,15.2,"พ่อ 69.8%R55 (3 แท่ง) · vol 3.64 · แม่ 15.2% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 15–25% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-77,120871,120872,61.8,120873,12.2,"พ่อ 61.8%R55 (2 แท่ง) · vol 5.15 · แม่ 12.2% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 10–15% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-76,115065,115068,66.2,115069,18.7,"พ่อ 66.2%R55 (4 แท่ง) · vol 2.73 · แม่ 18.7% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 15–25% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-75,113133,113134,63.6,113135,23.5,"พ่อ 63.6%R55 (2 แท่ง) · vol 5.24 · แม่ 23.5% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 15–25% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
-74,112893,112896,61.4,112897,9.2,"พ่อ 61.4%R55 (4 แท่ง) · vol 2.10 · แม่ 9.2% (compare=r55) · เข้า tier: พ่อ≥60%, แม่ 5–10% → 1 ไม้ · TP/SL = 40% / 20% ของพ่อ · lot: equal_risk · budget 100 (พอร์ต 1000×10%)"
