plan_id,direction,entry_time,n_trades,net_pnl_pips,net_pnl_usd,result
1,BUY,2026-01-06 13:24:00,1,-147.8,-99.03,LOSS
2,BUY,2026-01-07 01:05:00,1,-199.2,-99.6,LOSS
4,BUY,2026-01-07 05:38:00,1,-313.4,-97.15,LOSS
5,BUY,2026-01-07 14:39:00,1,485.2,198.93,WIN
7,SELL,2026-01-08 14:49:00,1,450.1,198.05,WIN
8,SELL,2026-01-09 06:34:00,1,-154.0,-98.56,LOSS
9,SELL,2026-01-09 14:58:00,1,-269.6,-99.75,LOSS
10,BUY,2026-01-13 01:20:00,1,356.4,199.58,WIN
11,BUY,2026-01-13 15:20:00,1,768.0,199.68,WIN
12,BUY,2026-01-14 05:59:00,1,1104.6,298.24,WIN
13,SELL,2026-01-14 12:05:00,1,-158.6,-99.92,LOSS
14,BUY,2026-01-14 20:04:00,1,398.5,199.26,WIN
15,BUY,2026-01-15 01:05:00,1,296.0,198.32,WIN
16,BUY,2026-01-16 12:26:00,1,-142.9,-98.63,LOSS
18,BUY,2026-01-19 07:14:00,1,-169.8,-98.48,LOSS
19,BUY,2026-01-19 23:06:00,1,350.0,199.5,WIN
20,BUY,2026-01-21 19:30:00,1,-831.8,-99.82,LOSS
21,BUY,2026-01-21 23:06:00,1,-347.9,-97.42,LOSS
24,BUY,2026-01-23 01:05:00,1,1591.8,286.52,WIN
27,BUY,2026-01-23 17:58:00,1,1238.6,297.26,WIN
28,SELL,2026-01-26 01:07:00,1,-322.2,-99.88,LOSS
29,SELL,2026-01-27 13:15:00,1,478.8,196.31,WIN
30,BUY,2026-01-27 21:55:00,1,570.0,199.5,WIN
31,BUY,2026-01-28 11:02:00,1,-291.4,-99.08,LOSS
33,BUY,2026-01-28 18:35:00,1,-748.2,-97.27,LOSS
35,SELL,2026-01-29 23:06:00,1,-1163.0,-93.04,LOSS
36,SELL,2026-01-30 03:58:00,1,-911.6,-91.16,LOSS
37,BUY,2026-01-30 08:35:00,1,6306.8,252.27,WIN
38,SELL,2026-01-30 12:00:00,1,1639.5,196.74,WIN
39,SELL,2026-02-03 13:07:00,1,938.8,197.15,WIN
40,SELL,2026-02-03 23:02:00,1,-449.8,-98.96,LOSS
41,BUY,2026-02-04 06:12:00,1,-427.0,-98.21,LOSS
42,BUY,2026-02-04 07:37:00,1,748.3,194.55,WIN
44,SELL,2026-02-04 23:05:00,1,-673.2,-94.25,LOSS
45,SELL,2026-02-05 00:22:00,1,765.6,199.06,WIN
46,BUY,2026-02-05 04:59:00,1,811.6,194.78,WIN
47,SELL,2026-02-05 14:42:00,1,1856.0,185.6,WIN
48,BUY,2026-02-05 17:59:00,1,655.4,196.63,WIN
49,BUY,2026-02-06 10:27:00,1,1243.2,298.37,WIN
50,BUY,2026-02-09 01:07:00,1,-498.4,-99.68,LOSS
51,SELL,2026-02-09 13:08:00,1,-218.8,-98.46,LOSS
52,SELL,2026-02-09 23:03:00,1,1501.8,285.34,WIN
54,BUY,2026-02-10 12:11:00,1,-223.4,-98.3,LOSS
55,BUY,2026-02-11 04:44:00,1,202.4,198.35,WIN
57,BUY,2026-02-11 21:31:00,1,-185.2,-98.16,LOSS
59,BUY,2026-02-12 14:18:00,1,-340.1,-98.64,LOSS
60,SELL,2026-02-12 19:37:00,1,704.5,197.27,WIN
61,SELL,2026-02-13 01:06:00,1,-572.4,-97.31,LOSS
62,BUY,2026-02-13 05:32:00,1,-277.2,-99.79,LOSS
64,SELL,2026-02-16 01:09:00,1,-237.8,-99.88,LOSS
68,BUY,2026-02-17 21:00:00,1,266.8,197.43,WIN
71,BUY,2026-02-18 10:32:00,1,225.1,198.07,WIN
72,SELL,2026-02-18 23:12:00,1,469.5,197.18,WIN
73,SELL,2026-02-19 04:57:00,1,-140.4,-99.68,LOSS
74,SELL,2026-02-19 23:03:00,1,578.4,294.98,WIN
75,SELL,2026-02-20 07:09:00,1,-182.4,-98.5,LOSS
76,BUY,2026-02-20 15:05:00,1,-882.8,-97.11,LOSS
77,SELL,2026-02-23 23:05:00,1,686.0,198.94,WIN
80,BUY,2026-02-25 17:50:00,1,327.2,199.59,WIN
83,BUY,2026-02-26 17:18:00,1,-228.6,-98.3,LOSS
84,SELL,2026-02-26 18:43:00,1,-260.4,-98.95,LOSS
85,BUY,2026-02-26 21:28:00,1,375.6,199.07,WIN
88,BUY,2026-03-02 13:14:00,1,1509.0,286.71,WIN
89,SELL,2026-03-02 23:06:00,1,1389.0,291.69,WIN
91,BUY,2026-03-04 08:06:00,1,-300.5,-99.18,LOSS
93,SELL,2026-03-05 02:55:00,1,-221.8,-99.81,LOSS
94,BUY,2026-03-06 05:00:00,1,-151.4,-99.92,LOSS
95,SELL,2026-03-06 13:32:00,1,-726.3,-94.42,LOSS
96,SELL,2026-03-09 05:08:00,1,1141.2,296.71,WIN
97,BUY,2026-03-09 13:44:00,1,-652.9,-97.93,LOSS
99,BUY,2026-03-10 10:03:00,1,-133.2,-99.9,LOSS
100,BUY,2026-03-10 17:20:00,1,372.4,197.37,WIN
102,BUY,2026-03-10 19:35:00,1,-379.0,-98.54,LOSS
103,SELL,2026-03-12 06:28:00,1,-198.0,-99.0,LOSS
104,BUY,2026-03-12 16:11:00,1,466.0,195.72,WIN
106,SELL,2026-03-13 12:03:00,1,803.2,192.77,WIN
107,SELL,2026-03-16 20:11:00,1,700.2,294.08,WIN
108,SELL,2026-03-17 04:32:00,1,-133.9,-99.12,LOSS
110,SELL,2026-03-18 01:09:00,1,-267.4,-98.94,LOSS
113,SELL,2026-03-19 17:22:00,1,-586.8,-99.76,LOSS
114,SELL,2026-03-19 22:02:00,1,343.1,198.99,WIN
115,BUY,2026-03-20 00:25:00,1,775.6,193.9,WIN
116,BUY,2026-03-20 05:05:00,1,416.8,195.9,WIN
117,BUY,2026-03-20 08:35:00,1,-565.4,-96.12,LOSS
119,SELL,2026-03-23 11:10:00,1,-2679.4,-80.38,LOSS
120,BUY,2026-03-23 22:07:00,1,1656.0,198.72,WIN
121,SELL,2026-03-24 05:43:00,1,1330.0,199.5,WIN
122,BUY,2026-03-25 12:19:00,1,-286.6,-97.44,LOSS
123,BUY,2026-03-26 02:37:00,1,-247.6,-99.04,LOSS
125,SELL,2026-03-27 12:15:00,1,-224.0,-98.56,LOSS
126,BUY,2026-03-27 12:22:00,1,533.3,197.33,WIN
127,BUY,2026-03-27 13:26:00,1,-276.8,-99.65,LOSS
128,BUY,2026-03-30 02:36:00,1,509.3,198.63,WIN
129,BUY,2026-03-31 05:12:00,1,-280.4,-98.14,LOSS
130,BUY,2026-03-31 16:00:00,1,588.4,194.17,WIN
