plan_id,tag,direction,kind,entry_time,entry,sl,tp,exit_time,exit_price,result,lot,pnl_pips,pnl_usd,entry_bar,exit_bar
1,ไม้1:แม่0%,BUY,LIMIT,2026-01-06 13:24:00,4460.715,4459.237,4463.671,2026-01-06 13:25:00,4459.237,SL,0.67,-147.8,-99.03,453,454
2,ไม้1:แม่0%,BUY,LIMIT,2026-01-07 01:05:00,4481.72,4479.728,4485.704,2026-01-07 01:05:00,4479.728,SL,0.5,-199.2,-99.6,1094,1094
4,ไม้1:แม่0%,BUY,LIMIT,2026-01-07 05:38:00,4453.5,4450.366,4462.902,2026-01-07 05:43:00,4450.366,SL,0.31,-313.4,-97.15,1367,1372
5,ไม้1:แม่0%,BUY,LIMIT,2026-01-07 14:39:00,4438.12,4435.694,4442.972,2026-01-07 14:39:00,4442.972,TP,0.41,485.2,198.93,1908,1908
7,ไม้1:แม่0%,SELL,LIMIT,2026-01-08 14:49:00,4437.012,4439.262,4432.51,2026-01-08 14:51:00,4432.51,TP,0.44,450.1,198.05,3298,3300
8,ไม้1:แม่0%,SELL,LIMIT,2026-01-09 06:34:00,4474.32,4475.86,4469.7,2026-01-09 06:46:00,4475.86,SL,0.64,-154.0,-98.56,4183,4195
9,ไม้1:แม่0%,SELL,LIMIT,2026-01-09 14:58:00,4493.765,4496.461,4488.373,2026-01-09 15:02:00,4496.461,SL,0.37,-269.6,-99.75,4687,4691
10,ไม้1:แม่0%,BUY,LIMIT,2026-01-13 01:20:00,4584.945,4583.163,4588.509,2026-01-13 01:21:00,4588.509,TP,0.56,356.4,199.58,6629,6630
11,ไม้1:แม่0%,BUY,LIMIT,2026-01-13 15:20:00,4603.965,4600.125,4611.645,2026-01-13 15:32:00,4611.645,TP,0.26,768.0,199.68,7469,7481
12,ไม้1:แม่0%,BUY,LIMIT,2026-01-14 05:59:00,4618.435,4614.753,4629.481,2026-01-14 06:12:00,4629.481,TP,0.27,1104.6,298.24,8288,8301
13,ไม้1:แม่0%,SELL,LIMIT,2026-01-14 12:05:00,4636.055,4637.641,4632.883,2026-01-14 12:08:00,4637.641,SL,0.63,-158.6,-99.92,8654,8657
14,ไม้1:แม่0%,BUY,LIMIT,2026-01-14 20:04:00,4630.83,4628.837,4634.815,2026-01-14 20:04:00,4634.815,TP,0.5,398.5,199.26,9133,9133
15,ไม้1:แม่0%,BUY,LIMIT,2026-01-15 01:05:00,4607.465,4605.985,4610.425,2026-01-15 01:07:00,4610.425,TP,0.67,296.0,198.32,9374,9376
16,ไม้1:แม่0%,BUY,LIMIT,2026-01-16 12:26:00,4605.438,4604.009,4608.297,2026-01-16 12:30:00,4604.009,SL,0.69,-142.9,-98.63,11435,11439
18,ไม้1:แม่0%,BUY,LIMIT,2026-01-19 07:14:00,4669.38,4667.682,4672.776,2026-01-19 07:16:00,4667.682,SL,0.58,-169.8,-98.48,12503,12505
19,ไม้1:แม่0%,BUY,LIMIT,2026-01-19 23:06:00,4667.298,4665.548,4670.798,2026-01-19 23:08:00,4670.798,TP,0.57,350.0,199.5,13244,13246
20,ไม้1:แม่0%,BUY,LIMIT,2026-01-21 19:30:00,4811.055,4802.737,4836.009,2026-01-21 19:30:00,4802.737,SL,0.12,-831.8,-99.82,15847,15847
21,ไม้1:แม่0%,BUY,LIMIT,2026-01-21 23:06:00,4815.348,4811.869,4822.307,2026-01-21 23:06:00,4811.869,SL,0.28,-347.9,-97.42,16003,16003
24,ไม้1:แม่0%,BUY,LIMIT,2026-01-23 01:05:00,4938.705,4933.399,4954.623,2026-01-23 01:34:00,4954.623,TP,0.18,1591.8,286.52,17502,17531
27,ไม้1:แม่0%,BUY,LIMIT,2026-01-23 17:58:00,4962.926,4958.798,4975.312,2026-01-23 18:03:00,4975.312,TP,0.24,1238.6,297.26,18515,18520
28,ไม้1:แม่0%,SELL,LIMIT,2026-01-26 01:07:00,5046.225,5049.447,5039.781,2026-01-26 01:10:00,5049.447,SL,0.31,-322.2,-99.88,18884,18887
29,ไม้1:แม่0%,SELL,LIMIT,2026-01-27 13:15:00,5091.09,5093.484,5086.302,2026-01-27 13:16:00,5086.302,TP,0.41,478.8,196.31,20992,20993
30,ไม้1:แม่0%,BUY,LIMIT,2026-01-27 21:55:00,5174.79,5171.94,5180.49,2026-01-27 21:57:00,5180.49,TP,0.35,570.0,199.5,21512,21514
31,ไม้1:แม่0%,BUY,LIMIT,2026-01-28 11:02:00,5265.465,5262.551,5271.293,2026-01-28 11:04:00,5262.551,SL,0.34,-291.4,-99.08,22239,22241
33,ไม้1:แม่0%,BUY,LIMIT,2026-01-28 18:35:00,5280.82,5273.338,5295.784,2026-01-28 18:39:00,5273.338,SL,0.13,-748.2,-97.27,22692,22696
35,ไม้1:แม่0%,SELL,LIMIT,2026-01-29 23:06:00,5428.148,5439.778,5393.258,2026-01-29 23:06:00,5439.778,SL,0.08,-1163.0,-93.04,24283,24283
36,ไม้1:แม่0%,SELL,LIMIT,2026-01-30 03:58:00,5196.8,5205.916,5178.568,2026-01-30 04:00:00,5205.916,SL,0.1,-911.6,-91.16,24575,24577
37,ไม้1:แม่0%,BUY,LIMIT,2026-01-30 08:35:00,5065.901,5044.879,5128.97,2026-01-30 09:03:00,5128.97,TP,0.04,6306.8,252.27,24852,24880
38,ไม้1:แม่0%,SELL,LIMIT,2026-01-30 12:00:00,5141.365,5149.562,5124.97,2026-01-30 12:06:00,5124.97,TP,0.12,1639.5,196.74,25057,25063
39,ไม้1:แม่0%,SELL,LIMIT,2026-02-03 13:07:00,4926.385,4931.079,4916.997,2026-02-03 13:11:00,4916.997,TP,0.21,938.8,197.15,27875,27879
40,ไม้1:แม่0%,SELL,LIMIT,2026-02-03 23:02:00,4962.798,4967.296,4953.802,2026-02-03 23:02:00,4967.296,SL,0.22,-449.8,-98.96,28410,28410
41,ไม้1:แม่0%,BUY,LIMIT,2026-02-04 06:12:00,5057.855,5053.585,5066.395,2026-02-04 06:15:00,5053.585,SL,0.23,-427.0,-98.21,28840,28843
42,ไม้1:แม่0%,BUY,LIMIT,2026-02-04 07:37:00,5070.263,5066.522,5077.746,2026-02-04 07:42:00,5077.746,TP,0.26,748.3,194.55,28925,28930
44,ไม้1:แม่0%,SELL,LIMIT,2026-02-04 23:05:00,4994.123,5000.855,4980.659,2026-02-04 23:13:00,5000.855,SL,0.14,-673.2,-94.25,29793,29801
45,ไม้1:แม่0%,SELL,LIMIT,2026-02-05 00:22:00,5017.035,5020.863,5009.379,2026-02-05 00:23:00,5009.379,TP,0.26,765.6,199.06,29870,29871
46,ไม้1:แม่0%,BUY,LIMIT,2026-02-05 04:59:00,4865.67,4861.612,4873.786,2026-02-05 05:00:00,4873.786,TP,0.24,811.6,194.78,30147,30148
47,ไม้1:แม่0%,SELL,LIMIT,2026-02-05 14:42:00,4861.69,4870.97,4843.13,2026-02-05 14:49:00,4843.13,TP,0.1,1856.0,185.6,30730,30737
