plan_id,tag,direction,kind,limit_price,sl,tp,place_time,place_bar,death_time,death_bar,reason
3,ไม้1:แม่0%,SELL,LIMIT,4479.555,4480.803,4477.059,2026-01-07 03:21:00,1230,2026-01-07 03:23:00,1232,proximity
6,ไม้1:แม่0%,BUY,LIMIT,4416.675,4414.479,4421.067,2026-01-08 06:07:00,2776,2026-01-08 06:08:00,2777,proximity
-1,ไม้1:แม่0%,SELL,LIMIT,4476.03,4477.422,4473.246,2026-01-09 08:09:00,4278,2026-01-09 08:09:00,4278,proximity
-2,ไม้1:แม่0%,SELL,LIMIT,4509.598,4510.971,4506.853,2026-01-09 17:35:00,4844,2026-01-09 17:35:00,4844,proximity
-3,ไม้1:แม่0%,SELL,LIMIT,4593.662,4594.816,4591.352,2026-01-12 10:43:00,5812,2026-01-12 10:43:00,5812,proximity
-4,ไม้1:แม่0%,BUY,LIMIT,4607.748,4604.77,4613.704,2026-01-12 16:42:00,6171,2026-01-12 16:42:00,6171,proximity
-5,ไม้1:แม่0%,BUY,LIMIT,4615.101,4611.818,4621.669,2026-01-13 15:05:00,7454,2026-01-13 15:05:00,7454,proximity
-6,ไม้1:แม่0%,SELL,LIMIT,4616.195,4617.831,4612.923,2026-01-15 01:11:00,9380,2026-01-15 01:11:00,9380,proximity
-7,ไม้1:แม่0%,BUY,LIMIT,4582.065,4580.043,4586.109,2026-01-15 05:19:00,9628,2026-01-15 05:19:00,9628,proximity
17,ไม้1:แม่0%,SELL,LIMIT,4597.85,4600.106,4593.338,2026-01-16 21:21:00,11970,2026-01-16 21:23:00,11972,proximity
-8,ไม้1:แม่0%,BUY,LIMIT,4827.59,4823.63,4835.51,2026-01-21 03:17:00,14874,2026-01-21 03:17:00,14874,proximity
22,ไม้1:แม่0%,BUY,LIMIT,4774.175,4769.423,4788.431,2026-01-22 01:05:00,16122,2026-01-22 01:10:00,16127,expiry
23,ไม้1:แม่0%,SELL,LIMIT,4801.105,4802.527,4796.839,2026-01-22 05:07:00,16364,2026-01-22 05:09:00,16366,proximity
-9,ไม้1:แม่0%,BUY,LIMIT,4824.765,4822.709,4828.877,2026-01-22 08:12:00,16549,2026-01-22 08:12:00,16549,proximity
25,ไม้1:แม่0%,BUY,LIMIT,4939.245,4936.269,4945.197,2026-01-23 03:21:00,17638,2026-01-23 03:22:00,17639,proximity
26,ไม้1:แม่0%,BUY,LIMIT,4951.615,4950.061,4956.277,2026-01-23 07:26:00,17883,2026-01-23 07:29:00,17886,proximity
-10,ไม้1:แม่0%,BUY,LIMIT,5078.805,5076.065,5084.285,2026-01-26 09:53:00,19410,2026-01-26 09:53:00,19410,proximity
32,ไม้1:แม่0%,BUY,LIMIT,5241.775,5231.155,5273.635,2026-01-28 15:11:00,22488,2026-01-28 15:16:00,22493,expiry
34,ไม้1:แม่0%,BUY,LIMIT,5514.5,5508.046,5527.408,2026-01-29 03:06:00,23143,2026-01-29 03:07:00,23144,proximity
-11,ไม้1:แม่0%,SELL,LIMIT,5239.865,5245.923,5227.749,2026-01-30 05:20:00,24657,2026-01-30 05:20:00,24657,proximity
-12,ไม้1:แม่0%,BUY,LIMIT,4721.53,4707.128,4750.334,2026-02-02 13:04:00,26492,2026-02-02 13:04:00,26492,proximity
-13,ไม้1:แม่0%,SELL,LIMIT,5085.225,5087.777,5080.121,2026-02-04 05:44:00,28812,2026-02-04 05:44:00,28812,proximity
-14,ไม้1:แม่0%,BUY,LIMIT,5015.07,5008.59,5028.03,2026-02-04 11:19:00,29147,2026-02-04 11:19:00,29147,proximity
43,ไม้1:แม่0%,SELL,LIMIT,4916.691,4925.432,4899.21,2026-02-04 18:09:00,29557,2026-02-04 18:14:00,29562,expiry
-15,ไม้1:แม่0%,SELL,LIMIT,5020.175,5022.049,5016.427,2026-02-09 12:38:00,33366,2026-02-09 12:38:00,33366,proximity
-16,ไม้1:แม่0%,BUY,LIMIT,5055.548,5052.088,5062.468,2026-02-09 23:06:00,33934,2026-02-09 23:06:00,33934,proximity
53,ไม้1:แม่0%,SELL,LIMIT,5049.835,5051.909,5045.687,2026-02-10 10:27:00,34615,2026-02-10 10:30:00,34618,proximity
56,ไม้1:แม่0%,BUY,LIMIT,5078.855,5077.42,5081.725,2026-02-11 20:35:00,36603,2026-02-11 20:36:00,36604,proximity
58,ไม้1:แม่0%,SELL,LIMIT,5064.08,5066.762,5058.716,2026-02-12 00:18:00,36766,2026-02-12 00:19:00,36767,proximity
-17,ไม้1:แม่0%,BUY,LIMIT,5050.99,5048.701,5055.568,2026-02-12 01:06:00,36814,2026-02-12 01:06:00,36814,proximity
-18,ไม้1:แม่0%,BUY,LIMIT,5062.105,5060.985,5064.345,2026-02-12 11:59:00,37467,2026-02-12 11:59:00,37467,proximity
-19,ไม้1:แม่0%,BUY,LIMIT,4976.35,4974.772,4979.506,2026-02-13 04:11:00,38372,2026-02-13 04:11:00,38372,proximity
-20,ไม้1:แม่0%,BUY,LIMIT,4952.36,4949.456,4958.168,2026-02-13 07:12:00,38553,2026-02-13 07:12:00,38553,proximity
