plan_id,base_bar,base_mid,peak_bar,peak_mid,lock_bar,height,entry_bar,trigger_bar,status,swings,reasons
1,962.5,4494.058,974.5,4499.098,981,5.04,981,981,placed,SL:952.5:4495.81|SL:957.5:4495.8|SL:962.5:4494.06|SH:932:4493.25|SH:951:4496.47|SH:958.5:4496.95|SH:974.5:4499.1|SH:977.5:4499,ฐาน #962-963 lo 4494.06 · ยอด #974-975 hi 4499.10 · สูง 504pip (69%R55) · วาง 1 ไม้ offset [5.0] (#981) · C@981 · TP 4496.07 (+40%) · SL 4492.29 (−35%)
2,2238.5,4455.565,2247.5,4461.215,2257,5.65,2271,2271,placed,SL:2238.5:4455.56|SL:2246.5:4458.74|SL:2254.5:4457.16|SL:2257.5:4456.56|SL:2266.5:4456.43|SH:2223.5:4457.48|SH:2230.5:4458.68|SH:2235.5:4458.88|SH:2241.5:4458.98|SH:2244.5:4460.03|SH:2247.5:4461.22|SH:2256.5:4458.55|SH:2262.5:4459.94,ฐาน #2238-2239 lo 4455.56 · ยอด #2247-2248 hi 4461.22 · สูง 565pip (59%R55) · วาง 1 ไม้ offset [5.0] (#2271) · C@2257 · TP 4457.82 (+40%) · SL 4453.59 (−35%)
3,3525.5,4448.205,3537.5,4454.245,3549,6.04,3549,3549,placed,SL:3499.5:4452.94|SL:3502.5:4452.9|SL:3509.5:4451.94|SL:3517.5:4449.81|SL:3525.5:4448.2|SH:3504.5:4455.52|SH:3510.5:4453.77|SH:3522.5:4453.14|SH:3537.5:4454.24,ฐาน #3525-3526 lo 4448.20 · ยอด #3537-3538 hi 4454.24 · สูง 604pip (59%R55) · วาง 1 ไม้ offset [5.0] (#3549) · C@3549 · TP 4450.62 (+40%) · SL 4446.09 (−35%)
4,4634.5,4480.995,4652.5,4495.115,4662,14.12,4675,4675,placed,SL:4627.5:4481.15|SL:4634.5:4480.99|SL:4647.5:4485.41|SL:4661.5:4483.19|SH:4621.5:4484.19|SH:4625.5:4484.66|SH:4631.5:4486.9|SH:4640.5:4494.02|SH:4652.5:4495.11|SH:4656.5:4495.01|SH:4666.5:4496.52,ฐาน #4634-4635 lo 4480.99 · ยอด #4652-4653 hi 4495.11 · สูง 1412pip (73%R55) · วาง 1 ไม้ offset [5.0] (#4675) · C@4662 · TP 4486.64 (+40%) · SL 4476.05 (−35%)
5,5778.5,4586.705,5797.5,4593.875,5803,7.17,5803,5803,placed,SL:5759.5:4590.14|SL:5763.5:4589.76|SL:5767.5:4588.18|SL:5778.5:4586.7|SL:5790.5:4588.98|SH:5750:4595.98|SH:5770.5:4592.91|SH:5775:4590.74|SH:5783.5:4591.86|SH:5797.5:4593.88,ฐาน #5778-5779 lo 4586.70 · ยอด #5797-5798 hi 4593.88 · สูง 717pip (67%R55) · วาง 1 ไม้ offset [5.0] (#5803) · C@5803 · TP 4589.57 (+40%) · SL 4584.20 (−35%)
6,5854.5,4583.775,5873.5,4591.995,5880,8.22,5880,5880,placed,SL:5832.5:4592.03|SL:5843.5:4590.81|SL:5854.5:4583.77|SH:5826.5:4595.02|SH:5835.5:4592.85|SH:5842.5:4592.35|SH:5846.5:4593.17|SH:5856.5:4585.94|SH:5873.5:4591.99,ฐาน #5854-5855 lo 4583.77 · ยอด #5873-5874 hi 4591.99 · สูง 822pip (72%R55) · วาง 1 ไม้ offset [5.0] (#5880) · C@5880 · TP 4587.06 (+40%) · SL 4580.90 (−35%)
7,6473.5,4590.275,6489.5,4606.698,6494,16.423,6494,6494,placed,SL:6440.5:4591.75|SL:6447:4591.61|SL:6473.5:4590.27|SH:6444.5:4593.01|SH:6450.5:4593.52|SH:6459.5:4594.84|SH:6478.5:4593.64|SH:6489.5:4606.7,ฐาน #6473-6474 lo 4590.27 · ยอด #6489-6490 hi 4606.70 · สูง 1642pip (92%R55) · วาง 1 ไม้ offset [5.0] (#6494) · C@6494 · TP 4596.84 (+40%) · SL 4584.53 (−35%)
8,6587.5,4584.348,6607.0,4591.795,6609,7.447,6609,6609,placed,SL:6558.5:4592.23|SL:6578.5:4587.9|SL:6587.5:4584.35|SL:6599.5:4587.8|SH:6560.5:4593.8|SH:6566.5:4595.52|SH:6567.5:4595.52|SH:6576.5:4591.25|SH:6580.5:4590.1|SH:6595.5:4589.49|SH:6607:4591.8,ฐาน #6587-6588 lo 4584.35 · ยอด #6606-6608 hi 4591.80 · สูง 745pip (58%R55) · วาง 1 ไม้ offset [5.0] (#6609) · C@6609 · TP 4587.33 (+40%) · SL 4581.74 (−35%)
9,6611.5,4582.375,6620.5,4595.115,6636,12.74,6636,6636,placed,SL:6587.5:4584.35|SL:6599.5:4587.8|SL:6611.5:4582.38|SL:6627.5:4584.94|SH:6595.5:4589.49|SH:6607:4591.8|SH:6620.5:4595.11|SH:6630.5:4588.48,ฐาน #6611-6612 lo 4582.38 · ยอด #6620-6621 hi 4595.11 · สูง 1274pip (90%R55) · วาง 1 ไม้ offset [5.0] (#6636) · C@6636 · TP 4587.47 (+40%) · SL 4577.92 (−35%)
10,6859.5,4592.195,6878.5,4601.155,6880,8.96,6880,6880,placed,SL:6840.5:4595.89|SL:6848.5:4596.1|SL:6854.5:4593.28|SL:6859.5:4592.19|SH:6829.5:4597.02|SH:6833.5:4598.65|SH:6837.5:4598.69|SH:6857.5:4595.26|SH:6864.5:4596.24|SH:6878.5:4601.15,ฐาน #6859-6860 lo 4592.19 · ยอด #6878-6879 hi 4601.15 · สูง 896pip (74%R55) · วาง 1 ไม้ offset [5.0] (#6880) · C@6880 · TP 4595.78 (+40%) · SL 4589.06 (−35%)
11,8591.5,4630.945,8605.5,4636.375,8618,5.43,8618,8618,placed,SL:8565:4634.15|SL:8578.5:4633.48|SL:8591.5:4630.94|SL:8609.5:4633.94|SH:8571.5:4637.88|SH:8577.5:4634.91|SH:8580.5:4635.35|SH:8588.5:4632.94|SH:8594:4635.11|SH:8600.5:4635.98|SH:8605.5:4636.38|SH:8613.5:4634.99,ฐาน #8591-8592 lo 4630.94 · ยอด #8605-8606 hi 4636.38 · สูง 543pip (60%R55) · วาง 1 ไม้ offset [5.0] (#8618) · C@8618 · TP 4633.12 (+40%) · SL 4629.04 (−35%)
12,9358.5,4610.275,9366.5,4615.995,9370,5.72,9370,9370,placed,SL:9316.5:4614.94|SL:9320.5:4615.02|SL:9324.5:4614.6|SL:9331.5:4615.27|SL:9335.5:4615.9|SL:9340.5:4615.81|SL:9350.5:4614.06|SL:9358.5:4610.27|SH:9319.5:4617.18|SH:9328.5:4616.64|SH:9333.5:4617.35|SH:9336.5:4616.88|SH:9339.5:4617.19|SH:9344.5:4617.32|SH:9351.5:4615.23|SH:9366.5:4615.99,ฐาน #9358-9359 lo 4610.27 · ยอด #9366-9367 hi 4615.99 · สูง 572pip (62%R55) · วาง 1 ไม้ offset [5.0] (#9370) · C@9370 · TP 4612.56 (+40%) · SL 4608.27 (−35%)
13,9794.5,4598.305,9809.0,4605.795,9821,7.49,9821,9821,placed,SL:9770.5:4602.48|SL:9779.5:4600.52|SL:9787.5:4599.73|SL:9791.5:4598.56|SL:9794.5:4598.31|SL:9800:4601|SL:9816.5:4600.47|SH:9773.5:4603.85|SH:9778.5:4602.84|SH:9784.5:4602.32|SH:9789.5:4603.68|SH:9797.5:4602.98|SH:9809:4605.8|SH:9818.5:4602.27,ฐาน #9794-9795 lo 4598.31 · ยอด #9808-9810 hi 4605.80 · สูง 749pip (89%R55) · วาง 1 ไม้ offset [5.0] (#9821) · C@9821 · TP 4601.30 (+40%) · SL 4595.68 (−35%)
14,10274.5,4608.878,10286.5,4623.605,10301,14.727,10301,10301,placed,SL:10252.5:4610.03|SL:10261.5:4612.73|SL:10271.5:4609.38|SL:10274.5:4608.88|SL:10298.5:4611.25|SH:10250.5:4613.38|SH:10257.5:4616.06|SH:10263.5:4615.45|SH:10267.5:4615.7|SH:10280.5:4622.92|SH:10286.5:4623.6,ฐาน #10274-10275 lo 4608.88 · ยอด #10286-10287 hi 4623.60 · สูง 1473pip (92%R55) · วาง 1 ไม้ offset [5.0] (#10301) · C@10301 · TP 4614.77 (+40%) · SL 4603.72 (−35%)
