plan_id,direction,entry_time,n_trades,net_pnl_pips,net_pnl_usd,result
3,BUY,2026-01-08 19:00:00,1,241.6,99.06,WIN
4,BUY,2026-01-09 14:50:00,1,564.8,96.02,WIN
5,BUY,2026-01-12 10:34:00,1,286.7,97.48,WIN
6,BUY,2026-01-12 11:56:00,1,-328.8,-98.64,LOSS
7,BUY,2026-01-12 23:06:00,1,-656.9,-98.53,LOSS
8,BUY,2026-01-13 01:00:00,1,297.9,98.31,WIN
9,BUY,2026-01-13 01:27:00,1,-509.6,-96.82,LOSS
10,BUY,2026-01-13 05:31:00,1,-358.4,-96.77,LOSS
11,BUY,2026-01-14 11:29:00,1,-217.2,-99.91,LOSS
12,BUY,2026-01-15 01:01:00,1,228.8,98.38,WIN
14,BUY,2026-01-15 16:33:00,1,-589.0,-94.24,LOSS
16,BUY,2026-01-20 23:01:00,1,245.2,98.08,WIN
17,BUY,2026-01-21 12:19:00,1,481.9,96.38,WIN
19,BUY,2026-01-21 16:45:00,1,-576.0,-97.92,LOSS
20,BUY,2026-01-23 07:41:00,1,-218.0,-98.1,LOSS
21,BUY,2026-01-23 13:20:00,1,317.6,98.46,WIN
22,BUY,2026-01-23 20:07:00,1,552.4,99.43,WIN
24,BUY,2026-01-26 12:31:00,1,-363.5,-98.15,LOSS
25,BUY,2026-01-26 13:25:00,1,627.2,94.08,WIN
26,BUY,2026-01-26 19:01:00,1,-816.8,-98.02,LOSS
27,BUY,2026-01-27 13:29:00,1,516.8,98.19,WIN
28,BUY,2026-01-28 12:04:00,1,512.0,97.28,WIN
31,BUY,2026-01-29 14:36:00,1,1228.3,98.26,WIN
32,BUY,2026-01-30 18:09:00,1,-3040.5,-91.21,LOSS
33,BUY,2026-02-02 13:31:00,1,-2976.6,-89.3,LOSS
34,BUY,2026-02-02 15:01:00,1,4250.8,85.02,WIN
35,BUY,2026-02-03 11:23:00,1,868.4,95.52,WIN
36,BUY,2026-02-04 02:52:00,1,769.6,92.35,WIN
37,BUY,2026-02-04 06:06:00,1,-706.6,-98.92,LOSS
38,BUY,2026-02-04 14:09:00,1,1092.0,98.28,WIN
39,BUY,2026-02-04 16:45:00,1,-1401.0,-98.07,LOSS
40,BUY,2026-02-05 14:14:00,1,1113.2,89.06,WIN
41,BUY,2026-02-05 19:16:00,1,688.8,96.43,WIN
42,BUY,2026-02-05 20:23:00,1,1068.8,96.19,WIN
43,BUY,2026-02-05 21:16:00,1,-917.6,-91.76,LOSS
44,BUY,2026-02-06 03:42:00,1,912.3,91.23,WIN
46,BUY,2026-02-06 20:16:00,1,488.4,97.68,WIN
47,BUY,2026-02-09 10:25:00,1,640.0,96.0,WIN
48,BUY,2026-02-09 13:23:00,1,614.8,98.37,WIN
50,BUY,2026-02-10 10:11:00,1,-320.4,-99.32,LOSS
51,BUY,2026-02-11 08:15:00,1,385.2,96.3,WIN
52,BUY,2026-02-13 10:47:00,1,-518.3,-98.48,LOSS
53,BUY,2026-02-16 10:11:00,1,-287.2,-97.65,LOSS
54,BUY,2026-02-16 11:04:00,1,-269.2,-99.6,LOSS
55,BUY,2026-02-16 16:03:00,1,-244.9,-97.96,LOSS
56,BUY,2026-02-16 23:42:00,1,492.0,98.4,WIN
57,BUY,2026-02-17 03:05:00,1,347.2,97.22,WIN
58,BUY,2026-02-17 23:18:00,1,599.9,95.98,WIN
59,BUY,2026-02-19 16:57:00,1,552.0,99.36,WIN
60,BUY,2026-02-20 07:20:00,1,-451.2,-99.26,LOSS
61,BUY,2026-02-23 17:35:00,1,389.6,97.4,WIN
62,BUY,2026-02-24 05:01:00,1,242.0,99.22,WIN
63,BUY,2026-02-24 16:49:00,1,588.4,94.14,WIN
64,BUY,2026-02-26 10:22:00,1,352.8,98.78,WIN
65,BUY,2026-02-26 17:16:00,1,-514.0,-97.66,LOSS
66,BUY,2026-03-02 05:10:00,1,490.4,98.08,WIN
67,BUY,2026-03-02 08:55:00,1,-456.3,-95.82,LOSS
68,BUY,2026-03-02 11:10:00,1,394.7,98.68,WIN
69,BUY,2026-03-02 13:12:00,1,864.8,95.13,WIN
70,BUY,2026-03-03 04:11:00,1,296.8,97.94,WIN
71,BUY,2026-03-03 06:52:00,1,1177.6,94.21,WIN
72,BUY,2026-03-04 02:49:00,1,625.6,93.84,WIN
73,BUY,2026-03-04 12:16:00,1,-593.6,-94.98,LOSS
74,BUY,2026-03-04 16:24:00,1,951.5,95.15,WIN
75,BUY,2026-03-06 07:33:00,1,443.6,97.59,WIN
76,BUY,2026-03-06 16:58:00,1,701.2,98.17,WIN
77,BUY,2026-03-09 13:41:00,1,-699.2,-97.89,LOSS
78,BUY,2026-03-10 14:07:00,1,-696.4,-97.5,LOSS
79,BUY,2026-03-11 00:05:00,1,387.6,96.9,WIN
81,BUY,2026-03-11 10:30:00,1,278.9,97.62,WIN
82,BUY,2026-03-11 12:34:00,1,594.0,95.04,WIN
83,BUY,2026-03-11 15:06:00,1,-607.6,-97.22,LOSS
85,BUY,2026-03-13 06:19:00,1,-369.3,-99.71,LOSS
86,BUY,2026-03-13 13:58:00,1,645.6,96.84,WIN
87,BUY,2026-03-15 22:21:00,1,1037.0,93.33,WIN
88,BUY,2026-03-16 08:38:00,1,537.6,96.77,WIN
89,BUY,2026-03-16 09:01:00,1,-403.6,-96.86,LOSS
90,BUY,2026-03-16 15:52:00,1,549.3,98.87,WIN
91,BUY,2026-03-16 16:26:00,1,-556.4,-94.59,LOSS
92,BUY,2026-03-16 20:33:00,1,-466.8,-98.03,LOSS
93,BUY,2026-03-17 03:00:00,1,348.8,97.66,WIN
94,BUY,2026-03-17 05:28:00,1,321.6,99.7,WIN
95,BUY,2026-03-17 07:20:00,1,269.2,99.6,WIN
97,BUY,2026-03-17 13:52:00,1,736.3,95.72,WIN
99,BUY,2026-03-17 19:00:00,1,281.6,98.56,WIN
100,BUY,2026-03-17 22:32:00,1,-208.0,-99.84,LOSS
101,BUY,2026-03-18 11:27:00,1,824.8,98.98,WIN
102,BUY,2026-03-19 16:51:00,1,-851.2,-93.63,LOSS
103,BUY,2026-03-20 05:01:00,1,285.9,97.21,WIN
104,BUY,2026-03-20 05:47:00,1,-506.4,-96.22,LOSS
105,BUY,2026-03-20 10:51:00,1,-869.6,-95.66,LOSS
107,BUY,2026-03-23 22:04:00,1,-862.2,-94.84,LOSS
