plan_id,tag,direction,kind,entry_time,entry,sl,tp,exit_time,exit_price,result,lot,pnl_pips,pnl_usd,entry_bar,exit_bar
3,mountain:tech#3:0,BUY,LIMIT,2026-01-08 19:00:00,4448.507,4446.091,4450.923,2026-01-08 19:03:00,4450.923,TP,0.41,241.6,99.06,3549,3552
4,mountain:tech#4:0,BUY,LIMIT,2026-01-09 14:50:00,4481.701,4476.053,4487.349,2026-01-09 14:52:00,4487.349,TP,0.17,564.8,96.02,4679,4681
5,mountain:tech#5:0,BUY,LIMIT,2026-01-12 10:34:00,4587.064,4584.195,4589.931,2026-01-12 10:38:00,4589.931,TP,0.34,286.7,97.48,5803,5807
6,mountain:tech#6:0,BUY,LIMIT,2026-01-12 11:56:00,4584.186,4580.898,4587.474,2026-01-12 12:08:00,4580.898,SL,0.3,-328.8,-98.64,5885,5897
7,mountain:tech#7:0,BUY,LIMIT,2026-01-12 23:06:00,4591.096,4584.527,4597.665,2026-01-12 23:12:00,4584.527,SL,0.15,-656.9,-98.53,6495,6501
8,mountain:tech#8:0,BUY,LIMIT,2026-01-13 01:00:00,4584.72,4581.742,4587.699,2026-01-13 01:00:00,4587.699,TP,0.33,297.9,98.31,6609,6609
9,mountain:tech#9:0,BUY,LIMIT,2026-01-13 01:27:00,4583.012,4577.916,4588.108,2026-01-13 01:31:00,4577.916,SL,0.19,-509.6,-96.82,6636,6640
10,mountain:tech#10:0,BUY,LIMIT,2026-01-13 05:31:00,4592.643,4589.059,4596.227,2026-01-13 05:32:00,4589.059,SL,0.27,-358.4,-96.77,6880,6881
11,mountain:tech#11:0,BUY,LIMIT,2026-01-14 11:29:00,4631.216,4629.044,4633.389,2026-01-14 11:29:00,4629.044,SL,0.46,-217.2,-99.91,8618,8618
12,mountain:tech#12:0,BUY,LIMIT,2026-01-15 01:01:00,4610.561,4608.273,4612.849,2026-01-15 01:01:00,4612.849,TP,0.43,228.8,98.38,9370,9370
14,mountain:tech#14:0,BUY,LIMIT,2026-01-15 16:33:00,4609.614,4603.724,4615.505,2026-01-15 16:46:00,4603.724,SL,0.16,-589.0,-94.24,10302,10315
16,mountain:tech#16:0,BUY,LIMIT,2026-01-20 23:01:00,4757.631,4755.18,4760.083,2026-01-20 23:01:00,4760.083,TP,0.4,245.2,98.08,14618,14618
17,mountain:tech#17:0,BUY,LIMIT,2026-01-21 12:19:00,4855.778,4850.958,4860.597,2026-01-21 12:24:00,4860.597,TP,0.2,481.9,96.38,15416,15421
19,mountain:tech#19:0,BUY,LIMIT,2026-01-21 16:45:00,4833.105,4827.345,4838.865,2026-01-21 16:52:00,4827.345,SL,0.17,-576.0,-97.92,15682,15689
20,mountain:tech#20:0,BUY,LIMIT,2026-01-23 07:41:00,4951.868,4949.688,4954.048,2026-01-23 07:43:00,4949.688,SL,0.45,-218.0,-98.1,17898,17900
21,mountain:tech#21:0,BUY,LIMIT,2026-01-23 13:20:00,4933.912,4930.736,4937.088,2026-01-23 13:20:00,4937.088,TP,0.31,317.6,98.46,18237,18237
22,mountain:tech#22:0,BUY,LIMIT,2026-01-23 20:07:00,4975.345,4969.822,4980.869,2026-01-23 20:14:00,4980.869,TP,0.18,552.4,99.43,18644,18651
24,mountain:tech#24:0,BUY,LIMIT,2026-01-26 12:31:00,5087.859,5084.224,5091.495,2026-01-26 12:33:00,5084.224,SL,0.27,-363.5,-98.15,19568,19570
25,mountain:tech#25:0,BUY,LIMIT,2026-01-26 13:25:00,5067.709,5061.437,5073.981,2026-01-26 13:27:00,5073.981,TP,0.15,627.2,94.08,19622,19624
26,mountain:tech#26:0,BUY,LIMIT,2026-01-26 19:01:00,5062.796,5054.628,5070.964,2026-01-26 19:02:00,5054.628,SL,0.12,-816.8,-98.02,19958,19959
27,mountain:tech#27:0,BUY,LIMIT,2026-01-27 13:29:00,5079.631,5074.463,5084.799,2026-01-27 13:32:00,5084.799,TP,0.19,516.8,98.19,21006,21009
28,mountain:tech#28:0,BUY,LIMIT,2026-01-28 12:04:00,5254.975,5249.855,5260.095,2026-01-28 12:12:00,5260.095,TP,0.19,512.0,97.28,22301,22309
31,mountain:tech#31:0,BUY,LIMIT,2026-01-29 14:36:00,5508.301,5496.017,5520.584,2026-01-29 14:37:00,5520.584,TP,0.08,1228.3,98.26,23833,23834
32,mountain:tech#32:0,BUY,LIMIT,2026-01-30 18:09:00,4810.199,4779.794,4840.602,2026-01-30 18:17:00,4779.794,SL,0.03,-3040.5,-91.21,25426,25434
33,mountain:tech#33:0,BUY,LIMIT,2026-02-02 13:31:00,4725.216,4695.45,4754.981,2026-02-02 13:36:00,4695.45,SL,0.03,-2976.6,-89.3,26519,26524
34,mountain:tech#34:0,BUY,LIMIT,2026-02-02 15:01:00,4691.222,4648.713,4733.73,2026-02-02 15:04:00,4733.73,TP,0.02,4250.8,85.02,26609,26612
35,mountain:tech#35:0,BUY,LIMIT,2026-02-03 11:23:00,4890.601,4881.917,4899.285,2026-02-03 11:26:00,4899.285,TP,0.11,868.4,95.52,27771,27774
36,mountain:tech#36:0,BUY,LIMIT,2026-02-04 02:52:00,5042.667,5034.971,5050.363,2026-02-04 03:05:00,5050.363,TP,0.12,769.6,92.35,28640,28653
37,mountain:tech#37:0,BUY,LIMIT,2026-02-04 06:06:00,5072.091,5065.025,5079.158,2026-02-04 06:06:00,5065.025,SL,0.14,-706.6,-98.92,28834,28834
38,mountain:tech#38:0,BUY,LIMIT,2026-02-04 14:09:00,5036.23,5025.31,5047.15,2026-02-04 14:13:00,5047.15,TP,0.09,1092.0,98.28,29317,29321
39,mountain:tech#39:0,BUY,LIMIT,2026-02-04 16:45:00,4893.899,4879.889,4907.91,2026-02-04 16:46:00,4879.889,SL,0.07,-1401.0,-98.07,29473,29474
40,mountain:tech#40:0,BUY,LIMIT,2026-02-05 14:14:00,4820.117,4808.985,4831.249,2026-02-05 14:14:00,4831.249,TP,0.08,1113.2,89.06,30702,30702
41,mountain:tech#41:0,BUY,LIMIT,2026-02-05 19:16:00,4848.306,4841.418,4855.194,2026-02-05 19:26:00,4855.194,TP,0.14,688.8,96.43,31004,31014
42,mountain:tech#42:0,BUY,LIMIT,2026-02-05 20:23:00,4817.481,4806.793,4828.169,2026-02-05 20:28:00,4828.169,TP,0.09,1068.8,96.19,31071,31076
43,mountain:tech#43:0,BUY,LIMIT,2026-02-05 21:16:00,4801.422,4792.246,4810.598,2026-02-05 21:33:00,4792.246,SL,0.1,-917.6,-91.76,31124,31141
44,mountain:tech#44:0,BUY,LIMIT,2026-02-06 03:42:00,4802.706,4793.581,4811.829,2026-02-06 03:47:00,4811.829,TP,0.1,912.3,91.23,31450,31455
46,mountain:tech#46:0,BUY,LIMIT,2026-02-06 20:16:00,4950.115,4945.231,4954.999,2026-02-06 20:20:00,4954.999,TP,0.2,488.4,97.68,32444,32448
47,mountain:tech#47:0,BUY,LIMIT,2026-02-09 10:25:00,4999.065,4992.665,5005.465,2026-02-09 10:25:00,5005.465,TP,0.15,640.0,96.0,33233,33233
48,mountain:tech#48:0,BUY,LIMIT,2026-02-09 13:23:00,5008.793,5002.645,5014.941,2026-02-09 13:24:00,5014.941,TP,0.16,614.8,98.37,33411,33412
50,mountain:tech#50:0,BUY,LIMIT,2026-02-10 10:11:00,5042.515,5039.311,5045.72,2026-02-10 10:15:00,5039.311,SL,0.31,-320.4,-99.32,34599,34603
51,mountain:tech#51:0,BUY,LIMIT,2026-02-11 08:15:00,5050.346,5046.494,5054.198,2026-02-11 08:22:00,5054.198,TP,0.25,385.2,96.3,35863,35870
52,mountain:tech#52:0,BUY,LIMIT,2026-02-13 10:47:00,4966.877,4961.694,4972.059,2026-02-13 10:48:00,4961.694,SL,0.19,-518.3,-98.48,38768,38769
53,mountain:tech#53:0,BUY,LIMIT,2026-02-16 10:11:00,5009.994,5007.122,5012.866,2026-02-16 10:12:00,5007.122,SL,0.34,-287.2,-97.65,40112,40113
54,mountain:tech#54:0,BUY,LIMIT,2026-02-16 11:04:00,5003.522,5000.83,5006.213,2026-02-16 11:10:00,5000.83,SL,0.37,-269.2,-99.6,40165,40171
55,mountain:tech#55:0,BUY,LIMIT,2026-02-16 16:03:00,4976.061,4973.612,4978.51,2026-02-16 16:03:00,4973.612,SL,0.4,-244.9,-97.96,40464,40464
56,mountain:tech#56:0,BUY,LIMIT,2026-02-16 23:42:00,4987.163,4982.243,4992.083,2026-02-16 23:49:00,4992.083,TP,0.2,492.0,98.4,40712,40719
57,mountain:tech#57:0,BUY,LIMIT,2026-02-17 03:05:00,4960.879,4957.407,4964.351,2026-02-17 03:07:00,4964.351,TP,0.28,347.2,97.22,40915,40917
58,mountain:tech#58:0,BUY,LIMIT,2026-02-17 23:18:00,4867.998,4861.999,4873.997,2026-02-17 23:18:00,4873.997,TP,0.16,599.9,95.98,42066,42066
59,mountain:tech#59:0,BUY,LIMIT,2026-02-19 16:57:00,4994.115,4988.595,4999.635,2026-02-19 17:22:00,4999.635,TP,0.18,552.0,99.36,44505,44530
60,mountain:tech#60:0,BUY,LIMIT,2026-02-20 07:20:00,5016.459,5011.947,5020.971,2026-02-20 07:23:00,5011.947,SL,0.22,-451.2,-99.26,45308,45311
61,mountain:tech#61:0,BUY,LIMIT,2026-02-23 17:35:00,5202.222,5198.326,5206.118,2026-02-23 17:35:00,5206.118,TP,0.25,389.6,97.4,47303,47303
62,mountain:tech#62:0,BUY,LIMIT,2026-02-24 05:01:00,5164.637,5162.217,5167.057,2026-02-24 05:01:00,5167.057,TP,0.41,242.0,99.22,47929,47929
63,mountain:tech#63:0,BUY,LIMIT,2026-02-24 16:49:00,5135.711,5129.827,5141.595,2026-02-24 16:59:00,5141.595,TP,0.16,588.4,94.14,48637,48647
64,mountain:tech#64:0,BUY,LIMIT,2026-02-26 10:22:00,5181.146,5177.618,5184.674,2026-02-26 10:25:00,5184.674,TP,0.28,352.8,98.78,51009,51012
65,mountain:tech#65:0,BUY,LIMIT,2026-02-26 17:16:00,5177.158,5172.018,5182.297,2026-02-26 17:32:00,5172.018,SL,0.19,-514.0,-97.66,51423,51439
66,mountain:tech#66:0,BUY,LIMIT,2026-03-02 05:10:00,5346.448,5341.544,5351.352,2026-03-02 05:12:00,5351.352,TP,0.2,490.4,98.08,53456,53458
67,mountain:tech#67:0,BUY,LIMIT,2026-03-02 08:55:00,5398.445,5393.882,5403.01,2026-03-02 08:56:00,5393.882,SL,0.21,-456.3,-95.82,53681,53682
68,mountain:tech#68:0,BUY,LIMIT,2026-03-02 11:10:00,5383.031,5379.085,5386.978,2026-03-02 11:13:00,5386.978,TP,0.25,394.7,98.68,53816,53819
69,mountain:tech#69:0,BUY,LIMIT,2026-03-02 13:12:00,5388.646,5379.998,5397.294,2026-03-02 13:22:00,5397.294,TP,0.11,864.8,95.13,53938,53948
70,mountain:tech#70:0,BUY,LIMIT,2026-03-03 04:11:00,5360.066,5357.098,5363.034,2026-03-03 04:15:00,5363.034,TP,0.33,296.8,97.94,54777,54781
71,mountain:tech#71:0,BUY,LIMIT,2026-03-03 06:52:00,5290.587,5278.811,5302.363,2026-03-03 06:54:00,5302.363,TP,0.08,1177.6,94.21,54938,54940
72,mountain:tech#72:0,BUY,LIMIT,2026-03-04 02:49:00,5165.257,5159.001,5171.513,2026-03-04 02:51:00,5171.513,TP,0.15,625.6,93.84,56075,56077
73,mountain:tech#73:0,BUY,LIMIT,2026-03-04 12:16:00,5190.617,5184.681,5196.553,2026-03-04 12:16:00,5184.681,SL,0.16,-593.6,-94.98,56642,56642
74,mountain:tech#74:0,BUY,LIMIT,2026-03-04 16:24:00,5139.355,5129.838,5148.87,2026-03-04 16:25:00,5148.87,TP,0.1,951.5,95.15,56890,56891
