plan_id,tag,direction,kind,limit_price,sl,tp,place_time,place_bar,death_time,death_bar,reason
1,mountain:tech#1:0,BUY,LIMIT,4494.31,4492.294,4496.326,2026-01-06 23:12:00,981,2026-01-06 23:17:00,986,expiry
2,mountain:tech#2:0,BUY,LIMIT,4455.847,4453.587,4458.108,2026-01-07 20:42:00,2271,2026-01-07 20:47:00,2276,expiry
13,mountain:tech#13:0,BUY,LIMIT,4598.68,4595.684,4601.676,2026-01-15 08:32:00,9821,2026-01-15 08:37:00,9826,expiry
15,mountain:tech#15:0,BUY,LIMIT,4661.569,4659.533,4663.605,2026-01-19 11:03:00,12732,2026-01-19 11:08:00,12737,expiry
18,mountain:tech#18:0,BUY,LIMIT,4858.453,4855.029,4861.877,2026-01-21 13:14:00,15471,2026-01-21 13:15:00,15472,repeak
23,mountain:tech#23:0,BUY,LIMIT,5054.529,5049.537,5059.521,2026-01-26 05:32:00,19149,2026-01-26 05:35:00,19152,repeak
29,mountain:tech#29:0,BUY,LIMIT,5504.94,5497.06,5512.82,2026-01-29 10:21:00,23578,2026-01-29 10:26:00,23583,expiry
30,mountain:tech#30:0,BUY,LIMIT,5505.394,5495.245,5515.542,2026-01-29 13:58:00,23795,2026-01-29 14:03:00,23800,expiry
45,mountain:tech#45:0,BUY,LIMIT,4850.618,4838.516,4862.719,2026-02-06 08:49:00,31757,2026-02-06 08:54:00,31762,expiry
49,mountain:tech#49:0,BUY,LIMIT,5043.548,5037.288,5049.807,2026-02-09 18:21:00,33709,2026-02-09 18:26:00,33714,expiry
80,mountain:tech#80:0,BUY,LIMIT,5212.276,5209.225,5215.328,2026-03-11 01:44:00,62967,2026-03-11 01:49:00,62972,expiry
84,mountain:tech#84:0,BUY,LIMIT,5176.729,5171.899,5181.558,2026-03-12 08:34:00,64757,2026-03-12 08:39:00,64762,expiry
96,mountain:tech#96:0,BUY,LIMIT,5008.708,5002.924,5014.492,2026-03-17 12:56:00,69159,2026-03-17 13:01:00,69164,expiry
98,mountain:tech#98:0,BUY,LIMIT,5005.349,4999.793,5010.905,2026-03-17 15:00:00,69283,2026-03-17 15:05:00,69288,expiry
106,mountain:tech#106:0,BUY,LIMIT,4542.683,4529.415,4555.951,2026-03-20 15:49:00,73472,2026-03-20 15:54:00,73477,expiry
121,mountain:tech#121:0,BUY,LIMIT,4649.753,4646.006,4653.501,2026-04-06 19:08:00,87468,2026-04-06 19:13:00,87473,expiry
128,mountain:tech#128:0,BUY,LIMIT,4711.404,4707.572,4715.236,2026-04-13 03:11:00,93411,2026-04-13 03:16:00,93416,expiry
132,mountain:tech#132:0,BUY,LIMIT,4821.6,4819.32,4823.88,2026-04-15 04:59:00,96279,2026-04-15 05:00:00,96280,repeak
142,mountain:tech#142:0,BUY,LIMIT,4776.673,4770.845,4782.502,2026-04-21 06:20:00,101880,2026-04-21 06:25:00,101885,expiry
159,mountain:tech#159:0,BUY,LIMIT,4588.652,4584.996,4592.308,2026-05-04 06:26:00,114306,2026-05-04 06:31:00,114311,expiry
163,mountain:tech#163:0,BUY,LIMIT,4645.859,4643.106,4648.612,2026-05-06 05:03:00,116983,2026-05-06 05:04:00,116984,repeak
164,mountain:tech#164:0,BUY,LIMIT,4695.68,4692.116,4699.244,2026-05-06 10:17:00,117297,2026-05-06 10:22:00,117302,expiry
168,mountain:tech#168:0,BUY,LIMIT,4718.303,4713.199,4723.407,2026-05-08 03:57:00,119677,2026-05-08 04:02:00,119682,expiry
172,mountain:tech#172:0,BUY,LIMIT,4697.83,4695.31,4700.35,2026-05-12 08:36:00,122716,2026-05-12 08:41:00,122721,expiry
181,mountain:tech#181:0,BUY,LIMIT,4539.603,4531.615,4547.591,2026-05-18 07:50:00,128186,2026-05-18 07:55:00,128191,expiry
187,mountain:tech#187:0,BUY,LIMIT,4478.556,4474.145,4482.968,2026-05-20 09:16:00,131032,2026-05-20 09:21:00,131037,expiry
213,mountain:tech#213:0,BUY,LIMIT,4463.628,4458.964,4468.292,2026-06-05 12:19:00,147622,2026-06-05 12:20:00,147623,repeak
214,mountain:tech#214:0,BUY,LIMIT,4347.818,4338.674,4356.962,2026-06-05 15:17:00,147800,2026-06-05 15:22:00,147805,expiry
