plan_id,direction,entry_time,n_trades,net_pnl_pips,net_pnl_usd,result
1,BUY,2026-01-08 19:00:00,1,211.4,86.67,WIN
2,BUY,2026-01-09 14:50:00,1,494.2,84.01,WIN
3,BUY,2026-01-12 10:34:00,1,250.9,85.31,WIN
4,BUY,2026-01-12 11:56:00,1,-328.8,-98.64,LOSS
5,BUY,2026-01-12 23:06:00,1,-656.9,-98.53,LOSS
6,BUY,2026-01-13 01:00:00,1,260.7,86.03,WIN
7,BUY,2026-01-13 01:27:00,1,-509.6,-96.82,LOSS
8,BUY,2026-01-13 05:31:00,1,313.6,84.67,WIN
9,BUY,2026-01-15 01:01:00,1,200.2,86.09,WIN
11,BUY,2026-01-15 16:33:00,1,-589.0,-94.24,LOSS
12,BUY,2026-01-20 23:01:00,1,214.6,85.84,WIN
13,BUY,2026-01-21 12:19:00,1,421.7,84.34,WIN
15,BUY,2026-01-21 16:45:00,1,-576.0,-97.92,LOSS
16,BUY,2026-01-23 13:20:00,1,277.9,86.15,WIN
17,BUY,2026-01-23 20:07:00,1,483.4,87.01,WIN
19,BUY,2026-01-26 12:31:00,1,-363.5,-98.15,LOSS
20,BUY,2026-01-26 13:25:00,1,548.8,82.32,WIN
21,BUY,2026-01-26 19:01:00,1,-816.8,-98.02,LOSS
22,BUY,2026-01-27 13:29:00,1,452.2,85.92,WIN
23,BUY,2026-01-28 12:04:00,1,448.0,85.12,WIN
26,BUY,2026-01-29 14:36:00,1,1074.8,85.98,WIN
27,BUY,2026-01-30 18:09:00,1,-3040.5,-91.21,LOSS
28,BUY,2026-02-02 13:31:00,1,-2976.6,-89.3,LOSS
29,BUY,2026-02-02 15:01:00,1,3719.4,74.39,WIN
30,BUY,2026-02-03 11:23:00,1,759.8,83.58,WIN
31,BUY,2026-02-04 02:52:00,1,673.4,80.81,WIN
32,BUY,2026-02-04 06:06:00,1,-706.6,-98.92,LOSS
33,BUY,2026-02-04 14:09:00,1,955.5,86.0,WIN
34,BUY,2026-02-04 16:45:00,1,-1401.0,-98.07,LOSS
35,BUY,2026-02-05 14:14:00,1,974.0,77.92,WIN
36,BUY,2026-02-05 19:16:00,1,602.7,84.38,WIN
37,BUY,2026-02-05 20:23:00,1,935.2,84.17,WIN
38,BUY,2026-02-05 21:16:00,1,-917.6,-91.76,LOSS
39,BUY,2026-02-06 03:42:00,1,798.3,79.83,WIN
41,BUY,2026-02-06 20:16:00,1,427.4,85.48,WIN
42,BUY,2026-02-09 10:25:00,1,560.0,84.0,WIN
43,BUY,2026-02-09 13:23:00,1,538.0,86.08,WIN
45,BUY,2026-02-10 10:11:00,1,280.4,86.92,WIN
46,BUY,2026-02-11 08:15:00,1,337.1,84.28,WIN
47,BUY,2026-02-13 10:47:00,1,-518.3,-98.48,LOSS
48,BUY,2026-02-16 10:11:00,1,-287.2,-97.65,LOSS
49,BUY,2026-02-16 11:04:00,1,-269.2,-99.6,LOSS
50,BUY,2026-02-16 16:03:00,1,-244.9,-97.96,LOSS
51,BUY,2026-02-16 23:42:00,1,430.5,86.1,WIN
52,BUY,2026-02-17 03:05:00,1,303.8,85.06,WIN
53,BUY,2026-02-17 23:18:00,1,524.9,83.98,WIN
54,BUY,2026-02-19 16:57:00,1,483.0,86.94,WIN
55,BUY,2026-02-20 07:20:00,1,-451.2,-99.26,LOSS
56,BUY,2026-02-23 17:35:00,1,340.9,85.23,WIN
57,BUY,2026-02-24 05:01:00,1,211.8,86.84,WIN
58,BUY,2026-02-24 16:49:00,1,514.8,82.37,WIN
59,BUY,2026-02-26 10:22:00,1,308.7,86.44,WIN
60,BUY,2026-02-26 17:16:00,1,-514.0,-97.66,LOSS
61,BUY,2026-03-02 05:10:00,1,429.1,85.82,WIN
62,BUY,2026-03-02 08:55:00,1,-456.3,-95.82,LOSS
63,BUY,2026-03-02 11:10:00,1,345.4,86.35,WIN
64,BUY,2026-03-02 13:12:00,1,756.7,83.24,WIN
65,BUY,2026-03-03 04:11:00,1,259.7,85.7,WIN
66,BUY,2026-03-03 06:52:00,1,1030.4,82.43,WIN
67,BUY,2026-03-04 02:49:00,1,547.4,82.11,WIN
68,BUY,2026-03-04 12:16:00,1,-593.6,-94.98,LOSS
69,BUY,2026-03-04 16:24:00,1,832.6,83.26,WIN
70,BUY,2026-03-06 07:33:00,1,388.1,85.38,WIN
71,BUY,2026-03-06 16:58:00,1,613.5,85.89,WIN
