plan_id,tag,direction,kind,entry_time,entry,sl,tp,exit_time,exit_price,result,lot,pnl_pips,pnl_usd,entry_bar,exit_bar
1,mountain:tech#1:0,BUY,LIMIT,2026-01-08 19:00:00,4448.507,4446.091,4450.621,2026-01-08 19:01:00,4450.621,TP,0.41,211.4,86.67,3549,3550
2,mountain:tech#2:0,BUY,LIMIT,2026-01-09 14:50:00,4481.701,4476.053,4486.643,2026-01-09 14:52:00,4486.643,TP,0.17,494.2,84.01,4679,4681
3,mountain:tech#3:0,BUY,LIMIT,2026-01-12 10:34:00,4587.064,4584.195,4589.573,2026-01-12 10:38:00,4589.573,TP,0.34,250.9,85.31,5803,5807
4,mountain:tech#4:0,BUY,LIMIT,2026-01-12 11:56:00,4584.186,4580.898,4587.063,2026-01-12 12:08:00,4580.898,SL,0.3,-328.8,-98.64,5885,5897
5,mountain:tech#5:0,BUY,LIMIT,2026-01-12 23:06:00,4591.096,4584.527,4596.844,2026-01-12 23:12:00,4584.527,SL,0.15,-656.9,-98.53,6495,6501
6,mountain:tech#6:0,BUY,LIMIT,2026-01-13 01:00:00,4584.72,4581.742,4587.327,2026-01-13 01:00:00,4587.327,TP,0.33,260.7,86.03,6609,6609
7,mountain:tech#7:0,BUY,LIMIT,2026-01-13 01:27:00,4583.012,4577.916,4587.471,2026-01-13 01:31:00,4577.916,SL,0.19,-509.6,-96.82,6636,6640
8,mountain:tech#8:0,BUY,LIMIT,2026-01-13 05:31:00,4592.643,4589.059,4595.779,2026-01-13 05:31:00,4595.779,TP,0.27,313.6,84.67,6880,6880
9,mountain:tech#9:0,BUY,LIMIT,2026-01-15 01:01:00,4610.561,4608.273,4612.563,2026-01-15 01:01:00,4612.563,TP,0.43,200.2,86.09,9370,9370
11,mountain:tech#11:0,BUY,LIMIT,2026-01-15 16:33:00,4609.614,4603.724,4614.769,2026-01-15 16:46:00,4603.724,SL,0.16,-589.0,-94.24,10302,10315
12,mountain:tech#12:0,BUY,LIMIT,2026-01-20 23:01:00,4757.631,4755.18,4759.777,2026-01-20 23:01:00,4759.777,TP,0.4,214.6,85.84,14618,14618
13,mountain:tech#13:0,BUY,LIMIT,2026-01-21 12:19:00,4855.778,4850.958,4859.995,2026-01-21 12:24:00,4859.995,TP,0.2,421.7,84.34,15416,15421
15,mountain:tech#15:0,BUY,LIMIT,2026-01-21 16:45:00,4833.105,4827.345,4838.145,2026-01-21 16:52:00,4827.345,SL,0.17,-576.0,-97.92,15682,15689
16,mountain:tech#16:0,BUY,LIMIT,2026-01-23 13:20:00,4933.912,4930.736,4936.691,2026-01-23 13:20:00,4936.691,TP,0.31,277.9,86.15,18237,18237
17,mountain:tech#17:0,BUY,LIMIT,2026-01-23 20:07:00,4975.345,4969.822,4980.179,2026-01-23 20:14:00,4980.179,TP,0.18,483.4,87.01,18644,18651
19,mountain:tech#19:0,BUY,LIMIT,2026-01-26 12:31:00,5087.859,5084.224,5091.041,2026-01-26 12:33:00,5084.224,SL,0.27,-363.5,-98.15,19568,19570
20,mountain:tech#20:0,BUY,LIMIT,2026-01-26 13:25:00,5067.709,5061.437,5073.197,2026-01-26 13:27:00,5073.197,TP,0.15,548.8,82.32,19622,19624
21,mountain:tech#21:0,BUY,LIMIT,2026-01-26 19:01:00,5062.796,5054.628,5069.943,2026-01-26 19:02:00,5054.628,SL,0.12,-816.8,-98.02,19958,19959
22,mountain:tech#22:0,BUY,LIMIT,2026-01-27 13:29:00,5079.631,5074.463,5084.153,2026-01-27 13:32:00,5084.153,TP,0.19,452.2,85.92,21006,21009
23,mountain:tech#23:0,BUY,LIMIT,2026-01-28 12:04:00,5254.975,5249.855,5259.455,2026-01-28 12:12:00,5259.455,TP,0.19,448.0,85.12,22301,22309
26,mountain:tech#26:0,BUY,LIMIT,2026-01-29 14:36:00,5508.301,5496.017,5519.049,2026-01-29 14:37:00,5519.049,TP,0.08,1074.8,85.98,23833,23834
27,mountain:tech#27:0,BUY,LIMIT,2026-01-30 18:09:00,4810.199,4779.794,4836.802,2026-01-30 18:17:00,4779.794,SL,0.03,-3040.5,-91.21,25426,25434
28,mountain:tech#28:0,BUY,LIMIT,2026-02-02 13:31:00,4725.216,4695.45,4751.26,2026-02-02 13:36:00,4695.45,SL,0.03,-2976.6,-89.3,26519,26524
29,mountain:tech#29:0,BUY,LIMIT,2026-02-02 15:01:00,4691.222,4648.713,4728.416,2026-02-02 15:04:00,4728.416,TP,0.02,3719.4,74.39,26609,26612
30,mountain:tech#30:0,BUY,LIMIT,2026-02-03 11:23:00,4890.601,4881.917,4898.199,2026-02-03 11:26:00,4898.199,TP,0.11,759.8,83.58,27771,27774
31,mountain:tech#31:0,BUY,LIMIT,2026-02-04 02:52:00,5042.667,5034.971,5049.401,2026-02-04 03:05:00,5049.401,TP,0.12,673.4,80.81,28640,28653
32,mountain:tech#32:0,BUY,LIMIT,2026-02-04 06:06:00,5072.091,5065.025,5078.275,2026-02-04 06:06:00,5065.025,SL,0.14,-706.6,-98.92,28834,28834
33,mountain:tech#33:0,BUY,LIMIT,2026-02-04 14:09:00,5036.23,5025.31,5045.785,2026-02-04 14:13:00,5045.785,TP,0.09,955.5,86.0,29317,29321
34,mountain:tech#34:0,BUY,LIMIT,2026-02-04 16:45:00,4893.899,4879.889,4906.159,2026-02-04 16:46:00,4879.889,SL,0.07,-1401.0,-98.07,29473,29474
35,mountain:tech#35:0,BUY,LIMIT,2026-02-05 14:14:00,4820.117,4808.985,4829.857,2026-02-05 14:14:00,4829.857,TP,0.08,974.0,77.92,30702,30702
36,mountain:tech#36:0,BUY,LIMIT,2026-02-05 19:16:00,4848.306,4841.418,4854.333,2026-02-05 19:20:00,4854.333,TP,0.14,602.7,84.38,31004,31008
37,mountain:tech#37:0,BUY,LIMIT,2026-02-05 20:23:00,4817.481,4806.793,4826.833,2026-02-05 20:28:00,4826.833,TP,0.09,935.2,84.17,31071,31076
38,mountain:tech#38:0,BUY,LIMIT,2026-02-05 21:16:00,4801.422,4792.246,4809.451,2026-02-05 21:33:00,4792.246,SL,0.1,-917.6,-91.76,31124,31141
39,mountain:tech#39:0,BUY,LIMIT,2026-02-06 03:42:00,4802.706,4793.581,4810.689,2026-02-06 03:46:00,4810.689,TP,0.1,798.3,79.83,31450,31454
41,mountain:tech#41:0,BUY,LIMIT,2026-02-06 20:16:00,4950.115,4945.231,4954.389,2026-02-06 20:20:00,4954.389,TP,0.2,427.4,85.48,32444,32448
42,mountain:tech#42:0,BUY,LIMIT,2026-02-09 10:25:00,4999.065,4992.665,5004.665,2026-02-09 10:25:00,5004.665,TP,0.15,560.0,84.0,33233,33233
43,mountain:tech#43:0,BUY,LIMIT,2026-02-09 13:23:00,5008.793,5002.645,5014.173,2026-02-09 13:24:00,5014.173,TP,0.16,538.0,86.08,33411,33412
45,mountain:tech#45:0,BUY,LIMIT,2026-02-10 10:11:00,5042.515,5039.311,5045.319,2026-02-10 10:11:00,5045.319,TP,0.31,280.4,86.92,34599,34599
46,mountain:tech#46:0,BUY,LIMIT,2026-02-11 08:15:00,5050.346,5046.494,5053.717,2026-02-11 08:22:00,5053.717,TP,0.25,337.1,84.28,35863,35870
47,mountain:tech#47:0,BUY,LIMIT,2026-02-13 10:47:00,4966.877,4961.694,4971.411,2026-02-13 10:48:00,4961.694,SL,0.19,-518.3,-98.48,38768,38769
48,mountain:tech#48:0,BUY,LIMIT,2026-02-16 10:11:00,5009.994,5007.122,5012.507,2026-02-16 10:12:00,5007.122,SL,0.34,-287.2,-97.65,40112,40113
