plan_id,tag,direction,kind,limit_price,sl,tp,place_time,place_bar,death_time,death_bar,reason
10,mountain:tech#10:0,BUY,LIMIT,4598.68,4595.684,4601.301,2026-01-15 08:32:00,9821,2026-01-15 08:37:00,9826,expiry
14,mountain:tech#14:0,BUY,LIMIT,4858.453,4855.029,4861.449,2026-01-21 13:14:00,15471,2026-01-21 13:15:00,15472,repeak
18,mountain:tech#18:0,BUY,LIMIT,5054.529,5049.537,5058.897,2026-01-26 05:32:00,19149,2026-01-26 05:35:00,19152,repeak
24,mountain:tech#24:0,BUY,LIMIT,5504.94,5497.06,5511.835,2026-01-29 10:21:00,23578,2026-01-29 10:26:00,23583,expiry
25,mountain:tech#25:0,BUY,LIMIT,5505.394,5495.245,5514.273,2026-01-29 13:58:00,23795,2026-01-29 14:03:00,23800,expiry
40,mountain:tech#40:0,BUY,LIMIT,4850.618,4838.516,4861.206,2026-02-06 08:49:00,31757,2026-02-06 08:54:00,31762,expiry
44,mountain:tech#44:0,BUY,LIMIT,5043.548,5037.288,5049.025,2026-02-09 18:21:00,33709,2026-02-09 18:26:00,33714,expiry
75,mountain:tech#75:0,BUY,LIMIT,5212.276,5209.225,5214.947,2026-03-11 01:44:00,62967,2026-03-11 01:49:00,62972,expiry
79,mountain:tech#79:0,BUY,LIMIT,5176.729,5171.899,5180.954,2026-03-12 08:34:00,64757,2026-03-12 08:39:00,64762,expiry
91,mountain:tech#91:0,BUY,LIMIT,5008.708,5002.924,5013.769,2026-03-17 12:56:00,69159,2026-03-17 13:01:00,69164,expiry
93,mountain:tech#93:0,BUY,LIMIT,5005.349,4999.793,5010.211,2026-03-17 15:00:00,69283,2026-03-17 15:05:00,69288,expiry
100,mountain:tech#100:0,BUY,LIMIT,4542.683,4529.415,4554.293,2026-03-20 15:49:00,73472,2026-03-20 15:54:00,73477,expiry
115,mountain:tech#115:0,BUY,LIMIT,4649.753,4646.006,4653.033,2026-04-06 19:08:00,87468,2026-04-06 19:13:00,87473,expiry
122,mountain:tech#122:0,BUY,LIMIT,4711.404,4707.572,4714.757,2026-04-13 03:11:00,93411,2026-04-13 03:16:00,93416,expiry
132,mountain:tech#132:0,BUY,LIMIT,4776.673,4770.845,4781.773,2026-04-21 06:20:00,101880,2026-04-21 06:25:00,101885,expiry
148,mountain:tech#148:0,BUY,LIMIT,4588.652,4584.996,4591.851,2026-05-04 06:26:00,114306,2026-05-04 06:31:00,114311,expiry
152,mountain:tech#152:0,BUY,LIMIT,4645.859,4643.106,4648.268,2026-05-06 05:03:00,116983,2026-05-06 05:04:00,116984,repeak
153,mountain:tech#153:0,BUY,LIMIT,4695.68,4692.116,4698.799,2026-05-06 10:17:00,117297,2026-05-06 10:22:00,117302,expiry
157,mountain:tech#157:0,BUY,LIMIT,4718.303,4713.199,4722.769,2026-05-08 03:57:00,119677,2026-05-08 04:02:00,119682,expiry
161,mountain:tech#161:0,BUY,LIMIT,4697.83,4695.31,4700.035,2026-05-12 08:36:00,122716,2026-05-12 08:41:00,122721,expiry
170,mountain:tech#170:0,BUY,LIMIT,4539.603,4531.615,4546.593,2026-05-18 07:50:00,128186,2026-05-18 07:55:00,128191,expiry
176,mountain:tech#176:0,BUY,LIMIT,4478.556,4474.145,4482.417,2026-05-20 09:16:00,131032,2026-05-20 09:21:00,131037,expiry
197,mountain:tech#197:0,BUY,LIMIT,4463.628,4458.964,4467.709,2026-06-05 12:19:00,147622,2026-06-05 12:20:00,147623,repeak
198,mountain:tech#198:0,BUY,LIMIT,4347.818,4338.674,4355.819,2026-06-05 15:17:00,147800,2026-06-05 15:22:00,147805,expiry
